idx,id,type,lat,lon,address
28,C31,customer,41.079396,28.9692391,"Merkez Mahallesi, Kagithane, Istanbul, Turkiye"
29,C32,customer,41.0945221,28.9708151,"Hamidiye Mahallesi, Kagithane, Istanbul, Turkiye"
30,C33,customer,41.0968122,28.9892146,"Seyrantepe Mahallesi, Kagithane, Istanbul, Turkiye"
31,C34,customer,41.083673,28.9997851,"Celiktepe Mahallesi, Kagithane, Istanbul, Turkiye"
32,C36,customer,41.0709262,28.972669,"Gursel Mahallesi, Kagithane, Istanbul, Turkiye"
33,C37,customer,41.0780937,29.0039886,"Ortabayir Mahallesi, Kagithane, Istanbul, Turkiye"
34,C38,customer,41.0909671,28.9978422,"Sanayi Mahallesi, Kagithane, Istanbul, Turkiye"
35,C39,customer,41.0956169,29.0006008,"Yesilce Mahallesi, Kagithane, Istanbul, Turkiye"
36,C40,customer,41.063141,28.9635226,"Talatpasa Mahallesi, Kagithane, Istanbul, Turkiye"
37,C41,customer,41.0785373,28.9195063,"Yesilpinar Mahallesi, Eyupsultan, Istanbul, Turkiye"
38,C42,customer,41.077272,28.946901,"Alibeykoy Mahallesi, Eyupsultan, Istanbul, Turkiye"
39,C43,customer,41.0411044,28.9254323,"Topcular Mahallesi, Eyupsultan, Istanbul, Turkiye"
40,C44,customer,41.0372014,28.934288,"Defterdar Mahallesi, Eyupsultan, Istanbul, Turkiye"
41,C45,customer,41.0467148,28.9314745,"Islambey Mahallesi, Eyupsultan, Istanbul, Turkiye"
42,C46,customer,41.041653,28.927815,"Nisanca Mahallesi, Eyupsultan, Istanbul, Turkiye"
43,C48,customer,41.0515281,28.9175547,"Rami Yeni Mahallesi, Eyupsultan, Istanbul, Turkiye"
44,C49,customer,41.0747846,28.934217,"Karadolap Mahallesi, Eyupsultan, Istanbul, Turkiye"
45,C50,customer,41.0504682,28.9188062,"Guvenlik Mahallesi, Eyupsultan, Istanbul, Turkiye"
46,C51,customer,41.0041141,28.9769087,"Sultanahmet Mahallesi, Fatih, Istanbul, Turkiye"
47,C52,customer,41.0083123,28.9502838,"Aksaray Mahallesi, Fatih, Istanbul, Turkiye"
48,C53,customer,41.0180181,28.9728987,"Eminonu Mahallesi, Fatih, Istanbul, Turkiye"
49,C54,customer,41.0092592,28.9451769,"Haseki Sultan Mahallesi, Fatih, Istanbul, Turkiye"
50,C55,customer,41.0320032,28.9482931,"Balat Mahallesi, Fatih, Istanbul, Turkiye"
51,C56,customer,41.0138832,28.9327162,"Capa Mahallesi, Fatih, Istanbul, Turkiye"
52,C57,customer,41.0298173,28.9509216,"Fener Mahallesi, Fatih, Istanbul, Turkiye"
53,C58,customer,40.9999287,28.9331768,"Kocamustafapasa Mahallesi, Fatih, Istanbul, Turkiye"
54,C59,customer,41.0268821,28.9373882,"Karagumruk Mahallesi, Fatih, Istanbul, Turkiye"
55,C60,customer,41.0129736,28.9418478,"Molla Gurani Mahallesi, Fatih, Istanbul, Turkiye"
56,C61,customer,41.0277775,28.9096922,"Topkapi Mahallesi, Zeytinburnu, Istanbul, Turkiye"
57,C62,customer,41.014371,28.9189855,"Merkezefendi Mahallesi, Zeytinburnu, Istanbul, Turkiye"
58,C63,customer,40.9912492,28.902307,"Yesiltepe Mahallesi, Zeytinburnu, Istanbul, Turkiye"
59,C64,customer,40.9959417,28.8978934,"Veliefendi Mahallesi, Zeytinburnu, Istanbul, Turkiye"
60,C65,customer,40.9881236,28.9025258,"Nuripasa Mahallesi, Zeytinburnu, Istanbul, Turkiye"
61,C66,customer,40.9881118,28.9093458,"Kazlicesme Mahallesi, Zeytinburnu, Istanbul, Turkiye"
62,C67,customer,41.0277775,28.9096922,"Maltepe Mahallesi, Zeytinburnu, Istanbul, Turkiye"
63,C68,customer,40.9994868,28.9045024,"Bestelsiz Mahallesi, Zeytinburnu, Istanbul, Turkiye"
64,C69,customer,40.9994553,28.9121132,"Telsiz Mahallesi, Zeytinburnu, Istanbul, Turkiye"
65,C70,customer,40.9934935,28.9054676,"Gokalp Mahallesi, Zeytinburnu, Istanbul, Turkiye"
66,C71,customer,40.9777116,28.8792335,"Sakizagaci Mahallesi, Bakirkoy, Istanbul, Turkiye"
67,C72,customer,40.9852114,28.8759551,"Kartaltepe Mahallesi, Bakirkoy, Istanbul, Turkiye"
68,C73,customer,40.9938982,28.8795871,"Osmaniye Mahallesi, Bakirkoy, Istanbul, Turkiye"
69,C74,customer,40.9589829,28.8225574,"Yesilkoy Mahallesi, Bakirkoy, Istanbul, Turkiye"
70,C75,customer,40.975948,28.7910128,"Florya Mahallesi, Bakirkoy, Istanbul, Turkiye"
71,C76,customer,40.977329,28.8675128,"Atakoy Mahallesi, Bakirkoy, Istanbul, Turkiye"
72,C77,customer,40.9824138,28.8711297,"Zuhuratbaba Mahallesi, Bakirkoy, Istanbul, Turkiye"
73,C78,customer,40.979703,28.780426,"Basinkoy Mahallesi, Bakirkoy, Istanbul, Turkiye"
74,C79,customer,40.9785708,28.8754801,"Cevizlik Mahallesi, Bakirkoy, Istanbul, Turkiye"
75,C80,customer,40.9956523,28.8486348,"Sirinevler Mahallesi, Bahcelievler, Istanbul, Turkiye"
76,C81,customer,41.0170357,28.8419751,"Kocasinan Merkez Mahallesi, Bahcelievler, Istanbul, Turkiye"
77,C82,customer,41.0134935,28.8251315,"Yenibosna Merkez Mahallesi, Bahcelievler, Istanbul, Turkiye"
78,C83,customer,41.0109005,28.8555162,"Soganli Mahallesi, Bahcelievler, Istanbul, Turkiye"
79,C84,customer,40.9941482,28.8411642,"Hurriyet Mahallesi, Bahcelievler, Istanbul, Turkiye"
80,C85,customer,41.00422455,28.871414117098865,"Bahcelievler Mahallesi, Bahcelievler, Istanbul, Turkiye"
81,C86,customer,41.0171118,28.8529333,"Cumhuriyet Mahallesi, Bahcelievler, Istanbul, Turkiye"
82,C87,customer,41.0016533,28.8329435,"Fevzi Cakmak Mahallesi, Bahcelievler, Istanbul, Turkiye"
83,C88,customer,40.996169,28.8437246,"Mahmutbey Mahallesi, Bahcelievler, Istanbul, Turkiye"
84,C89,customer,41.0043769,28.826637,"Cobancesme Mahallesi, Bahcelievler, Istanbul, Turkiye"
85,C90,customer,41.0012981,28.7976664,"Sefakoy Mahallesi, Kucukcekmece, Istanbul, Turkiye"
86,C91,customer,41.0553307,28.7819332,"Atakent Mahallesi, Kucukcekmece, Istanbul, Turkiye"
87,C92,customer,41.0356342,28.7925691,"Halkali Merkez Mahallesi, Kucukcekmece, Istanbul, Turkiye"
88,C93,customer,41.0486117,28.7538529,"Yarimburgaz Mahallesi, Kucukcekmece, Istanbul, Turkiye"
89,C94,customer,40.9896625,28.7775673,"Cennet Mahallesi, Kucukcekmece, Istanbul, Turkiye"
90,C95,customer,40.9920419,28.76962,"Fatih Mahallesi, Kucukcekmece, Istanbul, Turkiye"
91,C96,customer,40.9942991,28.7911487,"Gultepe Mahallesi, Kucukcekmece, Istanbul, Turkiye"
92,C97,customer,41.0234463,28.7965109,"Inonu Mahallesi, Kucukcekmece, Istanbul, Turkiye"
93,C98,customer,41.0531043,28.8058591,"Mehmet Akif Mahallesi, Kucukcekmece, Istanbul, Turkiye"
94,C99,customer,41.0080103,28.7994582,"Tevfikbey Mahallesi, Kucukcekmece, Istanbul, Turkiye"
95,C100,customer,40.9737318,28.7141652,"Ambarli Mahallesi, Avcilar, Istanbul, Turkiye"
